Range,Variance,Standard Deviation,Interquartile Range (IQR),Upperquartile Range (UQR),Coefficient of Variation (CV),Entropy
0.0483014308847487,4.565421706900304e-05,0.006756790441400639,0.04215799830853939,0.004184557357802987,100.67617471712869,4.6822188829809
0.17829847324173898,0.00031707311933244726,0.017806547091798772,0.17461766581982374,0.002736566821113229,265.3175395600872,4.008047300905018
0.13507238816237077,0.0001789809128242427,0.013378374819993747,0.13025771267712116,0.0029304681811481714,199.3377747581183,4.345922750971253
0.050228985492140055,3.187802019803851e-05,0.005646062362216566,0.04479463258758187,0.0034130983985960484,84.12632810014435,4.789686171906977
0.09411308239214122,0.00014259010918551832,0.01194111004829611,0.09060069778934121,0.002230046782642603,177.92254400718446,4.361244939808175
0.21560447616502643,0.0003672602600172195,0.019164035587976233,0.21195760369300842,0.002451937412843108,285.5441365435296,4.027273826668283
0.10484616016037762,0.0001168006608590334,0.010807435443204526,0.09973660344257951,0.0036221626214683056,161.03079114067256,4.491270929889593
0.22633948572911322,0.0004839479229475771,0.021998816398787847,0.22310977522283792,0.002100008772686124,327.78238113185114,3.8377649095065562
0.11529537371825427,9.966876466402685e-05,0.009983424495834425,0.1090605491772294,0.0043549733236432076,148.7530331443022,4.597462722365346
0.03579652146436274,2.2851655208209552e-05,0.004780340490823803,0.030919591896235943,0.0029095164500176907,71.2270719202317,4.834623832492592
0.6508279997506179,0.0028184195413960907,0.053088789225184736,0.6490998971275985,0.001197298988699913,791.0229722093289,2.237273799244693
0.2773903054767288,0.0007820977383690485,0.02796601041208861,0.27469297335483134,0.0018268059939146042,416.6935831301119,3.437509237216986
0.2302841095952317,0.000400549828621346,0.02001374099515995,0.22593203885480762,0.003170017385855317,298.2047495414993,4.035639839204996
0.09279416606295854,9.067473152673358e-05,0.009522328051833416,0.08819272369146347,0.003045968245714903,141.882693819449,4.527789296860199
0.10790989990346134,0.00011851333526731407,0.010886383020421157,0.10260221967473626,0.00387470587156713,162.2071271906244,4.494066947360912
0.05086090962868184,4.330534734163281e-05,0.006580679854060127,0.0453320681117475,0.003721327055245638,98.05211834223837,4.707971005720827
0.2930566528229974,0.0006068505401107136,0.02463433660788765,0.28901543468236923,0.0027545809280127287,367.0515925326507,3.802159397849864
0.3088089891243726,0.0009132778445765294,0.030220487166432795,0.30707628023810685,0.0012046947376802564,450.2852399086122,3.0418249986676784
0.06706834526266903,5.676230135277558e-05,0.007534076011879332,0.06164923496544361,0.0037022375036031008,112.25772587285165,4.662993687314291
0.036038344260305166,2.4607038920502505e-05,0.004960548247976478,0.029328180477023125,0.004403638420626521,73.91217062435585,4.7959924417573845
0.3832124834880233,0.000968789342327299,0.03112538099890986,0.3794989320449531,0.0020741636399179697,463.7681464875457,3.6650854558751806
0.0714479936286807,7.5571981219639e-05,0.008693214665452533,0.06648081354796886,0.0034150290302932262,129.52889907317123,4.55668965349825
0.06039433891419321,5.516910880670561e-05,0.0074275910500448,0.054608304053545,0.0036918087862432003,110.67110592417401,4.663681071010053
0.013978209579363465,6.301814272977922e-06,0.0025103414654142017,0.008851282298564911,0.003173448611050844,37.40408662414596,4.939334627058048
0.48664065869525075,0.0016534921817039183,0.04066315508791612,0.48455742187798023,0.0014001915697008371,605.8809480701123,2.7663976981193033
0.1520044882199727,0.000417342768056536,0.020428968844670943,0.14937169174663723,0.0018337658839300275,304.3916392051566,3.669836988402076
0.07343661680351943,0.00010721100676018447,0.010354274806097455,0.06863668700680137,0.0031747552566230297,154.27869592196157,4.4548891115773355
0.0855165560496971,0.00012836770703090946,0.01132994735340414,0.08081900235265493,0.002793959341943264,168.8162128929417,4.436213144294519
0.07083025539759547,6.642270424669202e-05,0.00815001253046227,0.06478619202971458,0.003991723759099841,121.43518763692431,4.618999258668772
0.15657020395155996,0.00029340882314251524,0.017129180457409958,0.15355305839329958,0.002081584418192506,255.22478673556307,3.9731013262673303
0.1146370122442022,0.00013078264381961215,0.011436023951514449,0.10923905903473496,0.0038661484140902758,170.39674713770034,4.450249216410719
0.15604922221973538,0.0002442006976605012,0.015626922206899898,0.1524095544591546,0.002274557016789913,232.84113107033684,4.160784704478447
0.09520615474320948,0.00011489400077122004,0.010718861915857487,0.09073364641517401,0.0030604463536292315,159.7110444055578,4.453082661468256
0.40191285719629377,0.0011988813032424235,0.03462486538952063,0.39947785902768373,0.0016368658980354667,515.910539919345,3.101440769569151
0.045975310378707945,5.72937462381473e-05,0.007569263255968001,0.04028004081919789,0.004265256226062775,112.78201113059978,4.62239789735392
0.09574410773348063,0.00011451803042944685,0.010701309752990372,0.09111793199554086,0.00315848458558321,159.44950071097534,4.4233627687917565
0.060447946190834045,4.669654018584215e-05,0.006833486678544281,0.05600060150027275,0.0029166024178266525,101.81894790691098,4.706171942559484
0.3982457687961869,0.0011222166035568554,0.033499501541916346,0.3960320071782917,0.00133155332878232,499.14259851295196,3.152899453423445
0.13114191743079573,0.00016387741172022035,0.012801461311905776,0.12633347837254405,0.0034535895101726055,190.7417713268696,4.36764581540319
0.06040902645327151,7.055054855136104e-05,0.008399437394930749,0.05448037385940552,0.004291899735108018,125.15161115266822,4.547095332754368
0.53244266792899,0.0019785911894075942,0.0444813577738764,0.5310171500314027,0.0009210456628352404,662.7721996593954,2.4372933350951516
0.05436737975105643,6.092181153658585e-05,0.007805242567440544,0.04877671645954251,0.003950391663238406,116.2981058742965,4.616043216574374
0.12150150584056973,0.00020881317788296172,0.014450369472195572,0.11718916846439242,0.002964748302474618,215.31050418322724,4.219880359138388
0.7974386652058456,0.0042349838585270016,0.0650767535954814,0.7965617796871811,0.0006177956238389015,969.6435718497853,1.377529439903412
0.19561534363310784,0.00027992020940433466,0.016730816160735695,0.1907825032249093,0.003389182034879923,249.28915687711643,4.212473428175679
0.06936514971312135,0.00012980768512237703,0.011393317564361008,0.0655787605792284,0.002476660069078207,169.76044568121986,4.341969666278093
0.2758754018577747,0.0007017282124891658,0.026490153123173255,0.2731637442484498,0.0018930253572762012,394.70326232838744,3.448869776699942
0.07872666872572154,6.300423025654245e-05,0.007937520409834703,0.07339575747027993,0.00377264223061502,118.26905347319389,4.646484395848512
0.09360241785179824,9.736463909110069e-05,0.009867352182379054,0.08866418013349175,0.003390086814761162,147.02354589144753,4.543080908699061
0.10331248631700873,0.0001396618633805341,0.011817862047787413,0.09913994185626507,0.0029971578624099493,176.0861281537321,4.329493974874913
0.1254136241041124,0.00015233323987074227,0.012342335268122572,0.12092349352315068,0.0027976196724921465,183.90078115108435,4.42831227584259
0.09227428236044943,7.412628202314079e-05,0.008609662131764567,0.08638222189620137,0.004055952886119485,128.2839719012564,4.635143808118446
0.06948585819918662,4.594222794108217e-05,0.006778069632357149,0.06315029226243496,0.00391915044747293,100.993242236743,4.72744853707964
0.3289745762012899,0.0007124584273539066,0.02669191689170912,0.32464035833254457,0.0024047030601650476,397.7095730761399,3.8949436011396914
0.0896489730803296,9.529025708974042e-05,0.009761672863282216,0.0845812694169581,0.002995350630953908,145.44892888007695,4.574672107095628
0.0910881421295926,9.218502841693715e-05,0.009601303474890122,0.08647300908342004,0.002870534546673298,143.05941686284194,4.576824180469252
0.025486757862381637,1.653323801894266e-05,0.00406610846128613,0.019450941123068333,0.0035042096860706806,60.585015657034916,4.852185867495333
0.03584315825719386,3.5517422431951146e-05,0.005959649522576906,0.029377873986959457,0.0047970423474907875,88.79878323090352,4.725694283909393
0.07586627604905516,5.5005832806185876e-05,0.007416591724382964,0.07022494776174426,0.003779643215239048,110.50721014515736,4.700449841537905
0.10646160272881389,8.738785112041724e-05,0.009348146935110576,0.1008515995927155,0.0037127677351236343,139.28738607389522,4.628659605950636
0.04548963287379593,2.6979150629245832e-05,0.005194145803618323,0.039483611937612295,0.003405679017305374,77.39276723026535,4.8007003327517666
0.04568335774820298,2.7375551868815374e-05,0.00523216512247228,0.03994874423369765,0.0033424654975533485,77.9592609147544,4.806317782874902
0.5482633158098906,0.0019916199568202043,0.04462756947022999,0.5457824096083641,0.001271513756364584,664.950738582744,2.867976715613006
0.2270574807189405,0.00034193888460024935,0.018491589563913897,0.22258169203996658,0.0026601580902934074,275.5247115417933,4.293295731727349
0.1517162820091471,0.0001693090108003759,0.013011879602900416,0.1468962887302041,0.0030237443279474974,193.8769964005777,4.460883413279289
0.12816548708360642,0.00012641832128096702,0.011243590230925663,0.12234851624816656,0.003300401847809553,167.52950313913084,4.522157781832235
0.10498046118300408,8.485536549718615e-05,0.009211697210459436,0.09940150519832969,0.003452546428889036,137.25429300569735,4.64724735460142
0.1649181452812627,0.00019997664810109217,0.014141309985326402,0.1605283124372363,0.0028773362282663584,210.7055360254984,4.440771403073553
0.0759572358801961,9.202187443688075e-05,0.009592803262700678,0.07148618623614311,0.0031109449919313192,142.9327649868152,4.5081172253530575
0.06567890243604779,4.170100046035583e-05,0.006457631180266943,0.06080928724259138,0.0029061511158943176,96.21870698306245,4.772898339305966
0.15983489784412086,0.0001828656906395248,0.013522784130478634,0.15548283979296684,0.0026888938155025244,201.48947444302442,4.464608292190677
0.11594391020480543,0.0001406195952974891,0.011858313341175004,0.11135349329560995,0.0029685948975384235,176.68885812861518,4.4226565652136856
0.19907701248303056,0.00028805559663077273,0.016972200700874733,0.19439246598631144,0.0032376886811107397,252.88576680289182,4.230161169141385
0.042190336622297764,3.3981509389099605e-05,0.005829366122409846,0.03613388491794467,0.0038647681940346956,86.85755070404399,4.755068534766355
0.036067281500436366,2.36111308076777e-05,0.004859128605797309,0.029969053342938423,0.003860647091642022,72.4010196062437,4.813304315152841
0.0710329762659967,4.484870255278022e-05,0.006696917391813955,0.06636941712349653,0.00315203913487494,99.78406483996214,4.755936530011372
0.03960842196829617,4.5744381146727137e-05,0.006763459258894603,0.03299281373620033,0.004497763235121965,100.77554239440236,4.658534182505317
0.06141792447306216,7.105391238068631e-05,0.008429348277339495,0.05614009127020836,0.0036390526220202446,125.59729070677467,4.582697014301081
0.02754095778800547,1.9143130023995578e-05,0.00437528627909027,0.02150515280663967,0.004179805517196655,65.19176401022371,4.83578351037475
0.05962527613155544,5.061354708531327e-05,0.00711431986104879,0.0539085092023015,0.003983905306085944,106.00336563345698,4.6600957983714135
0.029164453502744436,2.2138704632157266e-05,0.0047051784909987494,0.023413119837641716,0.004060368053615093,70.10715713270957,4.812863363638315
0.037000231561250985,2.6313961418360946e-05,0.005129713580538483,0.03155799163505435,0.0034797675907611847,76.43273785784935,4.798360884582497
0.0879310203017667,5.9696421054971494e-05,0.007726345905728755,0.08232868229970336,0.0032312842085957527,115.12255008196608,4.722574322722956
0.06977347121573985,4.836600497613479e-05,0.006954567202647106,0.06488033477216959,0.0030353993643075228,103.62305269465935,4.7415322652922605
0.05065606802236289,5.261727485898019e-05,0.007253776592850113,0.04445354314520955,0.004669343587011099,108.08126462775118,4.63459109997142
0.15120462805498391,0.00017452852299477007,0.013210924380783128,0.1466546207666397,0.002970498288050294,196.8427735715703,4.420711868330365
0.08447002980392426,0.00010604073394516935,0.010297608166228182,0.07947173109278083,0.003810976631939411,153.43437201896265,4.449573197832386
0.041635741014033556,3.057163572900156e-05,0.00552916229902881,0.035265271086245775,0.004384501138702035,82.38451231881199,4.763078746230269
0.04779129452072084,3.3966361159830964e-05,0.005828066674278098,0.04170121066272259,0.003424655646085739,86.83819215275375,4.770627219958182
0.4560249790083617,0.0013793254748915857,0.037139271329572225,0.45288520539179444,0.0021152987610548735,553.3751240640153,3.2936972862099116
0.11159740062430501,9.175592030731056e-05,0.009578931062874947,0.10645795799791813,0.0035246917977929115,142.72607788794943,4.651371715999953
0.029866138356737792,1.59391619797581e-05,0.003992388004660632,0.023078725673258305,0.0037573184818029404,59.48658152567394,4.866553745853752
0.1366690348368138,0.0001326880159010638,0.011519028426957883,0.13166572945192456,0.0029226711485534906,171.63353702871376,4.572998824146249
0.03302531782537699,2.1319964940292597e-05,0.004617354755733265,0.026542410254478455,0.004471261287108064,68.79858630093216,4.815085781947664
0.12271551415324211,0.00013887901188153046,0.011784693966392614,0.11781003046780825,0.0036032958887517452,175.5919270166319,4.3890283123050295
0.05502814974170178,3.639926746874975e-05,0.006033180543357687,0.049603682942688465,0.0030449035111814737,89.89439318322951,4.761945013618572
0.06366107449866831,3.639561975312233e-05,0.006032878231252669,0.05869575263932347,0.002992618829011917,89.88988932919003,4.791897573788521
0.04321971512399614,4.025334451668111e-05,0.006344552349589458,0.037403827998787165,0.0037118755280971527,94.53384005661903,4.709283678490703
0.0831771147204563,6.146180402821963e-05,0.007839757906225143,0.07687996421009302,0.0046338727697730064,116.81239922136606,4.67557740629958
0.11867915670154616,0.00011363407339720134,0.010659928395500663,0.11279509821906686,0.004099277779459953,158.83293565390622,4.500555371949838
0.04445521626621485,3.558711842787242e-05,0.005965493980205866,0.039273218251764774,0.0035503802355378866,88.88585978768361,4.749770847944012
0.09219182038214058,0.000126100897237892,0.01122946558113484,0.08799673058092594,0.002029953757300973,167.3190375679576,4.489967306151412
0.1062374422326684,0.00010032101834140828,0.010016038056108227,0.10124372085556388,0.0032177232205867767,149.23896694914407,4.555580712228488
0.021202112548053265,1.7456412790967085e-05,0.004178087216773614,0.01564809586852789,0.0035814600996673107,62.253504124690785,4.844330769813178
0.05756585951894522,3.808987053810972e-05,0.006171699161342014,0.05235394788905978,0.003309297375380993,91.95832377733572,4.764364159033075
0.1516130097443238,0.0003037380284844442,0.01742808160654649,0.14806106174364686,0.002229292644187808,259.67843725007964,4.1001819546492175
0.110105607425794,0.00014335953478104556,0.0119732842103178,0.10582297295331955,0.0027837881352752447,178.40193865902313,4.3883535733139505
0.03851066355127841,2.8929686669123384e-05,0.005378632416248891,0.03216621372848749,0.004171363776549697,80.141623309989,4.773667859627226
0.07118698244448751,8.151238429575921e-05,0.009028420919283683,0.0661423965357244,0.0032993177883327007,134.52347044447944,4.563098684155855
0.029507869388908148,1.728519180312809e-05,0.00415754636812725,0.022324773482978344,0.004578029736876488,61.9474416855871,4.845005983070687
