Range,Variance,Standard Deviation,Interquartile Range (IQR),Upperquartile Range (UQR),Coefficient of Variation (CV),Entropy
0.4774252171628177,0.0017031155268739128,0.041268820274802054,0.47603181609883904,0.0008517826208844781,614.9053758868157,2.470912944908089
0.3089085226529278,0.0008460450867755744,0.029086854191809303,0.3058100955095142,0.002004146226681769,433.39409930478644,3.3414424044017834
0.3360895976074971,0.0011782625641881426,0.03432582940277107,0.3344554358627647,0.0011058701202273369,511.4548703667727,2.700831400334689
0.4082103364635259,0.0011659609806789607,0.0341461708055085,0.4058293199632317,0.0016257183160632849,508.7779417444515,3.1818781107763043
0.49931180084240623,0.0018206709775815202,0.042669321269285736,0.49792900949250907,0.0009663680102676153,635.7728755327505,2.4003205075013527
0.49904806082486175,0.0018046299995035345,0.04248093689531264,0.4974656440317631,0.0009729054290801287,632.9659178675598,2.4797220347132702
0.6265193337167148,0.002654102591030199,0.05151798318092624,0.6252085363958031,0.0007708790362812579,767.6180092463338,2.124074314527883
0.5907040269230492,0.002342247240243234,0.048396768902926095,0.5891544176265597,0.000930224428884685,721.1118441452772,2.4072734529490516
0.38682241752394475,0.0013542801412000608,0.036800545392698475,0.38552424975205213,0.0007808948867022991,548.328063075965,2.535722920206667
0.6144043131789658,0.0025421513747506267,0.050419751831505745,0.6129836873151362,0.0007966163102537394,751.2543091767146,2.217314139199887
0.5476814284338616,0.002101873750790006,0.045846196688384154,0.5461677105631679,0.0009855963289737701,683.1083665621364,2.3458002471007897
0.4304685022798367,0.0016025862007379695,0.04003231445642345,0.42907692480366677,0.0008728834800422192,596.4814797761031,2.4145833458601142
0.573055587883573,0.00228971982027146,0.04785101691993034,0.5719224996864796,0.0007239683764055371,712.9801213547914,2.1992323544734798
0.6334768827946391,0.0026903660727726595,0.05186873887779285,0.6320654321461916,0.0009135212749242783,772.8442543770334,2.177904127008641
0.48234709695680067,0.0016176026487781955,0.040219431233897325,0.48038169415667653,0.0013626622967422009,599.2695690923163,2.7909447156540033
0.5856855047750287,0.0023304975616963365,0.048275227205020345,0.5843556901672855,0.0008566579781472683,719.3008212955111,2.3222490378184157
0.5895080062909983,0.002375658084341539,0.04874072305928113,0.5882618301548064,0.000768965866882354,726.2367715119342,2.230616678519067
0.6513176042935811,0.002837826037943014,0.05327124963752037,0.6500882126856595,0.0007165787974372506,793.741650138473,2.127076103894492
0.17196147295180708,0.00029434794520529335,0.01715657148748821,0.16800641594454646,0.003012809669598937,255.6329073070433,4.043250616954588
0.5154721626604442,0.0019040186292254627,0.043635061925307986,0.5137549524661154,0.0011109319748356938,650.162436102941,2.453444445282935
0.3930466694291681,0.001092454751739246,0.03305230327434453,0.390389587264508,0.0017862975364550948,492.4793120225413,3.226440104397563
0.5826854908373207,0.0023100954772487265,0.04806345261473344,0.5810619082767516,0.0010785211343318224,716.1453567125175,2.3530198502814903
0.21655039745382965,0.0005695160175495668,0.02386453472308997,0.2137685555499047,0.0017540787812322378,355.5815428267226,3.6639897520999165
0.5234453537850641,0.0019597328063975065,0.044268869495363294,0.522150143282488,0.0007634497596882284,659.6061774807512,2.358937096803115
0.630837413133122,0.0026662875412326653,0.051636106952719286,0.6293228112626821,0.0009637847542762756,769.3780553522355,2.219611495208505
0.6246551045041997,0.0026053852033650214,0.05104297408424612,0.623064674437046,0.000872185337357223,760.5402700950937,2.30213081362103
0.5585691302258056,0.0021177049453850764,0.04601852828356288,0.5570170166902244,0.0009228413691744208,685.6760507309228,2.4711811707908824
0.611550676781917,0.002519753257041688,0.05019714391319179,0.6101961213862523,0.0007864875951781869,747.9374550381052,2.2374381688295917
0.4510585570242256,0.0014058727798327757,0.03749497006043311,0.4485760694369674,0.0014825877733528614,558.6750811840368,2.988676131791145
0.5645722053595819,0.002188005588857426,0.04677612199463981,0.563193685025908,0.0008582818554714322,696.9642002350425,2.32458822012518
0.5523791261366569,0.0020874483161564985,0.045688601599923134,0.5509172736201435,0.0009251211304217577,680.7602409103769,2.4374642658580745
